Machine_ID,Density_Overload,Abnormal_Flow_Rate,Heat_Flow,Asset_Integrity,Temperature_Differential,Volumetric_Flow_Rate,Tangential_Stress,Duct_Lengths_in_Units,Fault_in_last_Month,Avg_hours_in_Use,Pressure_Alarm,Inclination_Angle,Location_Fault_Code,Operating_Pressure_above_Normal,Vandalism_Reports,Compression_Ratio,Multiple_Connects,Water_Exposure_units,Humidity_Factor,Cathodic_Protection,Pressure_Class,District,Latitude,Longitude,Failure_NextHour
111287,6681,0,6681,783360,713,1507,1507,1958,0,2218,0,75,169,24,0,2,722,2461,128,1,1,Radin Mas,"1,28","103,83",1
185046,6681,0,6681,783360,713,1507,1507,1958,0,2218,0,75,169,24,0,2,722,2461,128,1,1,Kent Ridge,"1,29","103,78",1
111260,5266,0,5267,783360,921,1458,1498,1489,0,2190,1,35,111,18,0,2,426,1460,128,1,1,Jurong Spring,"1,35","103,72",1
111389,6910,0,6910,783360,610,1605,1594,1897,0,2223,2,67,228,19,6,2,835,2762,128,1,1,Cheng San,"1,37","103,89",0
46837,4635,0,4635,783360,198,1233,1497,1081,0,2186,0,43,342,24,42,2,536,1007,128,1,1,Gek Poh Ville,"1,35","103,7",1
187786,4635,0,4635,783360,198,1233,1497,1081,0,2186,0,43,342,24,42,2,536,1007,128,1,1,Simpang,"1,44","103,85",1
36611,5753,0,5756,783360,1523,1437,1481,914,1,2134,0,74,195,21,1,2,239,2401,128,1,1,Boon Keng,"1,32","103,86",1
185220,6910,0,6910,783360,610,1605,1594,1897,0,2223,2,67,228,19,6,2,835,2762,128,1,1,Simei,"1,34","103,95",0
111176,5735,0,5735,783360,774,1477,1481,1481,0,2288,2,54,136,11,0,2,595,1924,128,1,1,Tampines,"1,35","103,96",1
185172,5735,0,5735,783360,774,1477,1481,1481,0,2288,2,54,136,11,0,2,595,1924,128,1,1,Pioneer Sector,"1,29","103,67",1
185047,6917,0,6917,783360,556,1544,1591,1887,0,2279,0,70,191,25,1,2,733,2759,128,1,0,Bugis-Kampong Glam,"1,35","103,82",0
188635,5753,0,5756,783360,1523,1437,1481,914,1,2134,0,74,195,21,1,2,239,2401,128,1,1,Bedok Town Park,"1,34","103,94",1
111577,5876,0,5876,783360,398,1471,1479,1740,0,2143,2,65,177,31,2,2,563,1921,128,1,1,Serangoon Gardens,"1,36","103,87",1
46450,6860,10,6870,783360,1401,1303,1578,1411,0,1998,0,49,290,19,23,4,342,1991,128,1,1,Balestier Road,"1,32","103,85",0
111316,6715,0,6715,783360,1056,1527,1476,2084,0,2050,0,70,274,15,16,4,1042,2516,128,1,1,Kallang,"1,31","103,87",1
185196,6715,0,6715,783360,1056,1527,1476,2084,0,2050,0,70,274,15,16,4,1042,2516,128,1,1,Sungei Gedong,"1,42","103,69",1
111161,8636,10,8646,783360,1045,1454,1472,1992,0,1911,3,83,316,18,42,4,1116,5075,128,1,1,Mattar,"1,33","103,88",1
111162,8636,10,8646,783360,1045,1454,1472,1992,0,1911,3,83,316,18,42,4,1116,5075,128,1,1,Bartley,"1,34","103,88",1
185158,8636,10,8646,783360,1045,1454,1472,1992,0,1911,3,83,316,18,42,4,1116,5075,128,1,1,one-North,"1,3","103,79",1
188005,6860,10,6870,783360,1401,1303,1578,1411,0,1998,0,49,290,19,23,4,342,1991,128,1,1,Orchard Road,"1,3","103,85",0
111604,6673,0,6673,783360,671,1566,1552,1844,0,2169,4,68,223,20,4,2,653,2425,128,1,1,Pioneer,"1,32","103,68",0
185089,7013,0,7013,783360,1914,1522,1458,2081,0,2168,2,79,229,27,6,2,919,3059,128,1,1,Punggol,"1,4","103,91",1
46810,7242,0,7242,783360,185,1296,1450,1141,0,1973,0,45,370,26,82,3,531,1354,128,1,1,Bukit Batok,"1,36","103,76",1
187766,7242,0,7242,783360,185,1296,1450,1141,0,1973,0,45,370,26,82,3,531,1354,128,1,1,Teck Ghee,"1,37","103,85",1
111416,5205,0,5205,783360,612,1453,1448,1434,0,2253,1,43,121,16,1,2,523,1577,128,1,1,Lim Chu Kang,"1,43","103,72",1
185162,8839,5,8845,771120,1106,1557,1551,2022,0,2051,2,68,270,20,23,3,1029,4813,125,1,1,Balestier Road,"1,32","103,85",0
111407,6864,5,6867,783360,1021,1550,1442,1879,0,2226,2,93,184,26,4,3,796,3736,128,1,1,Dover,"1,31","103,78",1
187870,5818,3,5818,783360,186,1419,1550,1361,0,2051,0,72,203,30,3,2,230,1402,128,1,1,Geylang Serai,"1,32","103,9",0
46691,6364,0,6364,783360,404,1471,1434,1208,0,2091,0,47,404,24,78,4,818,2192,128,1,1,Simpang,"1,44","103,85",1
116615,6442,0,6442,777240,864,1457,1544,586,0,2340,0,48,209,18,2,3,685,2493,127,1,1,Mattar,"1,33","103,88",0
111387,7158,0,7158,783360,2075,1531,1432,2143,0,2122,2,88,215,20,5,5,865,3893,128,1,1,Sin Ming,"1,36","103,83",1
185218,7158,0,7158,783360,2075,1531,1432,2143,0,2122,2,88,215,20,5,5,865,3893,128,1,1,Pioneer Sector,"1,29","103,67",1
111110,5708,0,5709,783360,440,1359,1428,1746,0,1896,0,61,151,19,0,2,486,1770,128,1,0,Teck Ghee,"1,37","103,85",1
185135,5708,0,5709,783360,440,1359,1428,1746,0,1896,0,61,151,19,0,2,486,1770,128,1,0,Kallang Basin,"1,32","103,87",1
46759,5371,0,5371,783360,213,1390,1427,1313,0,2035,0,52,272,38,38,3,426,1462,128,1,1,Sennett Estate,"1,35","103,82",1
185195,6742,0,6742,777240,1395,1559,1538,1880,0,2154,1,72,289,20,23,3,1140,2884,127,1,1,Watten,"1,33","103,81",0
111411,6577,0,6578,783360,604,1481,1425,2004,0,2125,0,86,245,23,12,3,985,3406,128,1,1,Boon Keng,"1,32","103,86",1
188021,5693,0,5693,777240,222,1414,1534,1317,0,2028,0,59,213,29,9,3,345,1599,127,1,1,Bukit Merah,"1,35","103,82",0
46806,5354,0,5354,783360,190,1242,1422,1372,0,1947,0,31,322,31,32,2,538,1322,128,1,1,Loyang,"1,37","103,97",1
111553,5715,0,5715,783360,572,1454,1422,1700,0,2117,0,59,178,24,1,3,559,1892,128,1,1,Watten,"1,33","103,81",1
185122,5715,0,5715,783360,572,1454,1422,1700,0,2117,0,59,178,24,1,3,559,1892,128,1,1,Bedok Reservoir,"1,34","103,92",1
111605,5918,0,5918,777240,491,1436,1530,1765,0,1954,0,59,203,19,4,2,536,1932,127,1,1,Yishun,"1,43","103,84",0
111311,7044,0,7044,783360,745,1685,1421,1954,0,2309,1,61,163,19,0,2,652,2490,128,1,1,Shunfu Estate,"1,35","103,84",1
185079,7245,1,7246,783360,744,1613,1528,1988,0,2278,0,79,205,20,1,2,742,3489,128,1,1,Hougang,"1,36","103,89",0
111602,6203,0,6203,783360,494,1467,1420,1879,0,2049,2,107,227,26,5,2,643,2524,128,1,1,Sungei Road,"1,3","103,85",1
185165,9504,31,9536,777240,1258,1409,1526,2091,0,1828,0,63,303,19,37,4,1163,5222,127,1,1,Caldecott Hill,"1,34","103,83",0
111254,5861,0,5861,783360,577,1340,1418,1878,0,1819,2,75,158,27,0,2,558,2121,128,1,1,Clarke Quay,"1,29","103,84",1
185027,5861,0,5861,783360,577,1340,1418,1878,0,1819,2,75,158,27,0,2,558,2121,128,1,1,Thomson,"1,33","103,84",1
111382,6254,0,6254,783360,573,1500,1415,1919,0,2156,1,68,140,30,0,2,587,2281,128,1,1,Hume Estate,"1,35","103,82",1
185213,6254,0,6254,783360,573,1500,1415,1919,0,2156,1,68,140,30,0,2,587,2281,128,1,1,Wrexham,"1,35","103,82",1
46366,6360,0,6360,783360,209,1402,1414,1595,0,2020,0,44,278,17,11,2,257,1412,128,1,1,Kallang,"1,31","103,87",1
187782,4999,6,5003,777240,213,1287,1517,1248,0,1907,0,36,367,27,59,3,532,1110,127,1,1,Murai,"1,39","103,69",0
187982,6360,0,6360,783360,209,1402,1414,1595,0,2020,0,44,278,17,11,2,257,1412,128,1,1,Fidelio Estate,"1,35","103,82",1
187983,6360,0,6360,783360,209,1402,1414,1595,0,2020,0,44,278,17,11,2,257,1412,128,1,1,Hougang,"1,36","103,89",1
111606,5377,0,5377,783360,1349,1412,1412,1667,0,1884,2,45,149,24,0,2,451,1504,128,1,1,Kallang Basin,"1,32","103,87",1
185093,7854,98,7953,783360,2030,1554,1511,1929,0,2235,1,68,233,22,14,5,834,2676,126,1,1,Yuhua,"1,34","103,74",0
111160,7113,1,7114,777240,566,1643,1501,1797,0,2052,3,62,248,16,18,4,791,3136,127,1,1,Sungei Road,"1,3","103,85",0
185031,5266,0,5267,783360,921,1458,1498,1489,0,2190,1,35,111,18,0,2,426,1460,128,1,1,Gek Poh Ville,"1,35","103,7",0
184929,4453,0,4453,777240,607,1441,1493,989,0,2349,0,49,85,24,0,2,331,1161,127,1,0,Geylang Serai,"1,32","103,9",0
111175,5735,0,5735,783360,774,1477,1481,1481,0,2288,2,54,136,11,0,2,595,1924,128,1,1,Jalan Kayu-Seletar,"1,4","103,87",0
185173,5735,0,5735,783360,774,1477,1481,1481,0,2288,2,54,136,11,0,2,595,1924,128,1,1,Mattar,"1,33","103,88",0
184935,5876,0,5876,783360,398,1471,1479,1740,0,2143,2,65,177,31,2,2,563,1921,128,1,1,Innova,"1,43","103,79",0
187747,5455,3,5456,777240,673,1425,1475,1265,0,1970,0,40,361,22,64,3,626,1390,127,1,1,Tanglin,"1,31","103,82",0
185159,8636,10,8646,783360,1045,1454,1472,1992,0,1911,3,83,316,18,42,4,1116,5075,128,1,1,Sungei Gedong,"1,42","103,69",0
188007,5231,0,5231,777240,201,1262,1470,1381,0,1912,0,36,234,29,0,2,177,1326,127,1,1,Tai Seng,"1,34","103,89",0
187761,5092,0,5092,777240,211,1208,1463,1383,0,1943,0,43,306,34,27,3,557,1413,127,1,1,Frankel Estate,"1,32","103,92",0
185214,6641,0,6641,777240,653,1553,1462,1931,0,2188,3,101,187,24,1,2,781,2869,127,1,1,Ayer Rajah,"1,27","103,85",0
111456,7013,0,7013,783360,1914,1522,1458,2081,0,2168,2,79,229,27,6,2,919,3059,128,1,1,Pandan Valley,"1,32","103,78",0
111164,8119,3,8122,777240,835,1521,1456,2229,0,1947,0,107,292,21,34,3,1090,4762,127,1,1,Bukit Batok,"1,36","103,76",0
185071,5254,0,5254,777240,624,1381,1454,1557,0,2094,0,33,136,18,0,2,553,1661,127,1,0,Queenstown,"1,29","103,79",0
185072,5205,0,5205,783360,612,1453,1448,1434,0,2253,1,43,121,16,1,2,523,1577,128,1,1,Yew Tee,"1,4","103,75",0
185064,6864,5,6867,783360,1021,1550,1442,1879,0,2226,2,93,184,26,4,3,796,3736,128,1,1,Woodlands,"1,44","103,79",0
187743,6364,0,6364,783360,404,1471,1434,1208,0,2091,0,47,404,24,78,4,818,2192,128,1,1,Bukit Panjang,"1,38","103,77",0
187847,5545,0,5546,777240,295,1444,1431,1364,0,1889,0,57,242,28,1,2,204,1283,127,1,0,Dover,"1,31","103,78",0
187913,5371,0,5371,783360,213,1390,1427,1313,0,2035,0,52,272,38,38,3,426,1462,128,1,1,Bukit Ho Swee,"1,29","103,83",0
185068,6577,0,6578,783360,604,1481,1425,2004,0,2125,0,86,245,23,12,3,985,3406,128,1,1,Paya Lebar,"1,32","103,89",0
188023,5716,0,5716,777240,190,1498,1423,1277,0,2117,0,42,191,20,1,2,218,1709,127,1,1,Yew Tee,"1,4","103,75",0
187762,5354,0,5354,783360,190,1242,1422,1372,0,1947,0,31,322,31,32,2,538,1322,128,1,1,Simei,"1,34","103,95",0
185057,7044,0,7044,783360,745,1685,1421,1954,0,2309,1,61,163,19,0,2,652,2490,128,1,1,Bukit Gombak,"1,36","103,75",0
184950,6203,0,6203,783360,494,1467,1420,1879,0,2049,2,107,227,26,5,2,643,2524,128,1,1,Caldecott Hill,"1,34","103,83",0
185029,5568,0,5568,777240,652,1346,1417,1794,0,1916,2,49,145,26,0,2,518,1713,127,1,1,Marina Bay,"1,28","103,85",0
46367,6360,0,6360,783360,209,1402,1414,1595,0,2020,0,44,278,17,11,2,257,1412,128,1,1,Hillview,"1,36","103,77",0
184954,5377,0,5377,783360,1349,1412,1412,1667,0,1884,2,45,149,24,0,2,451,1504,128,1,1,Lim Chu Kang,"1,43","103,72",0
111626,6150,0,6150,783360,575,1499,1409,1857,0,2170,1,92,201,22,1,2,636,2933,128,1,1,Tanjong Pagar,"1,28","103,85",0
184965,6150,0,6150,783360,575,1499,1409,1857,0,2170,1,92,201,22,1,2,636,2933,128,1,1,Geylang,"1,32","103,89",0
46595,4920,0,4920,783360,392,1371,1408,1158,0,1984,0,55,212,31,0,2,176,1228,128,1,0,Pulau Tekong,"1,41","104,04",0
116568,6025,0,6025,783360,962,1387,1408,692,0,2308,0,52,222,8,1,2,790,2728,128,1,1,Tengah,"1,36","103,73",0
184377,6025,0,6025,783360,962,1387,1408,692,0,2308,0,52,222,8,1,2,790,2728,128,1,1,Western Water Catchment,"1,41","103,7",0
187872,4920,0,4920,783360,392,1371,1408,1158,0,1984,0,55,212,31,0,2,176,1228,128,1,0,Holland Village,"1,31","103,8",0
46782,5153,0,5153,777240,286,1275,1408,1467,0,1918,0,33,169,30,0,2,279,1377,127,1,1,Simei,"1,34","103,95",0
111455,6801,0,6800,777240,675,1499,1408,2090,0,2170,2,74,204,28,5,2,887,2974,127,1,1,Woodlands,"1,44","103,79",0
185088,6801,0,6800,777240,675,1499,1408,2090,0,2170,2,74,204,28,5,2,887,2974,127,1,1,Bukit Gombak,"1,36","103,75",0
187744,5153,0,5153,777240,286,1275,1408,1467,0,1918,0,33,169,30,0,2,279,1377,127,1,1,Tuas West,"1,33","103,63",0
111625,5711,0,5711,777240,722,1402,1407,1776,0,2012,1,77,191,17,2,2,598,2364,127,1,1,Caldecott Hill,"1,34","103,83",0
184964,5711,0,5711,777240,722,1402,1407,1776,0,2012,1,77,191,17,2,2,598,2364,127,1,1,Pandan Valley,"1,32","103,78",0
46687,6235,0,6235,777240,452,1422,1406,1370,0,1966,0,56,349,19,57,3,734,2216,127,1,1,Cheng San,"1,37","103,89",0
187739,6235,0,6235,777240,452,1422,1406,1370,0,1966,0,56,349,19,57,3,734,2216,127,1,1,Jurong?esidential,"1,35","103,82",0
46761,5264,0,5264,777240,232,1329,1402,1364,0,1863,0,33,211,18,7,2,267,1379,127,1,1,Seletar,"1,41","103,87",0
187915,5264,0,5264,777240,232,1329,1402,1364,0,1863,0,33,211,18,7,2,267,1379,127,1,1,Marina South,"1,28","103,87",0
111391,5080,0,5080,783360,702,1360,1398,1561,0,1935,1,49,95,18,0,1,376,1467,128,1,1,Serangoon North,"1,36","103,87",0
185222,5080,0,5080,783360,702,1360,1398,1561,0,1935,1,49,95,18,0,1,376,1467,128,1,1,Yew Tee,"1,4","103,75",0
46781,5130,0,5130,783360,190,1234,1397,1523,0,1890,0,45,184,33,3,3,309,1405,128,1,1,Sarimbun,"1,42","103,7",0
46830,4901,0,4901,783360,190,1166,1397,1405,0,1738,0,29,347,23,49,3,620,1398,128,1,1,Lim Chu Kang,"1,43","103,72",0
187779,4901,0,4901,783360,190,1166,1397,1405,0,1738,0,29,347,23,49,3,620,1398,128,1,1,Marsiling,"1,43","103,77",0
187923,5130,0,5130,783360,190,1234,1397,1523,0,1890,0,45,184,33,3,3,309,1405,128,1,1,Chong Pang,"1,43","103,83",0
46517,5533,0,5533,777240,230,1473,1397,1269,0,2008,2,37,255,23,8,2,227,1380,127,1,1,Chong Boon,"1,37","103,86",0
187845,5533,0,5533,777240,230,1473,1397,1269,0,2008,2,37,255,23,8,2,227,1380,127,1,1,Jurong?ndustrial,"1,34","103,75",0
111558,5032,0,5032,783360,735,1286,1395,1523,0,1883,0,48,136,17,0,2,391,1474,128,1,0,"Clementi, Singapore","1,32","103,76",0
184928,5032,0,5032,783360,735,1286,1395,1523,0,1883,0,48,136,17,0,2,391,1474,128,1,0,Tampines,"1,35","103,96",0
46590,4894,0,4895,777240,164,1230,1395,1341,0,1830,0,35,161,38,1,2,158,1214,127,1,1,Somapah,"1,34","103,96",0
187869,4894,0,4895,777240,164,1230,1395,1341,0,1830,0,35,161,38,1,2,158,1214,127,1,1,Lim Chu Kang,"1,43","103,72",0
46832,4406,0,4406,783360,152,1081,1394,1270,0,1767,0,35,250,20,16,2,376,1307,128,1,1,Pioneer Sector,"1,29","103,67",0
187781,4406,0,4406,783360,152,1081,1394,1270,0,1767,0,35,250,20,16,2,376,1307,128,1,1,Pulau Tekong,"1,41","104,04",0
46518,5450,0,5450,783360,268,1304,1393,1423,0,1764,1,28,249,25,4,2,208,1512,128,1,1,Loyang,"1,37","103,97",0
187846,5450,0,5450,783360,268,1304,1393,1423,0,1764,1,28,249,25,4,2,208,1512,128,1,1,Western Water Catchment,"1,41","103,7",0
46786,5210,0,5210,783360,211,1377,1390,1270,0,1930,0,40,371,18,83,3,532,1266,128,1,1,West Coast,"1,31","103,76",0
187748,5210,0,5210,783360,211,1377,1390,1270,0,1930,0,40,371,18,83,3,532,1266,128,1,1,Holland Village,"1,31","103,8",0
111111,5750,0,5749,777240,688,1408,1388,1711,0,1979,2,61,140,24,0,2,457,1825,127,1,1,Tampines,"1,35","103,96",0
111112,5750,0,5749,777240,688,1408,1388,1711,0,1979,2,61,140,24,0,2,457,1825,127,1,1,Nanyang,"1,35","103,69",0
185136,5750,0,5749,777240,688,1408,1388,1711,0,1979,2,61,140,24,0,2,457,1825,127,1,1,Tuas West,"1,33","103,63",0
185137,5750,0,5749,777240,688,1408,1388,1711,0,1979,2,61,140,24,0,2,457,1825,127,1,1,Marsiling,"1,43","103,77",0
111417,4593,0,4593,777240,958,1442,1385,1154,0,2313,2,46,135,18,0,2,590,1432,127,1,1,Sungei Road,"1,3","103,85",0
111599,5755,0,5755,777240,549,1341,1385,1874,0,1927,0,49,135,32,0,3,462,1781,127,1,0,Serangoon Gardens,"1,36","103,87",0
184947,5755,0,5755,777240,549,1341,1385,1874,0,1927,0,49,135,32,0,3,462,1781,127,1,0,Mount Pleasant,"1,33","103,83",0
185073,4593,0,4593,777240,958,1442,1385,1154,0,2313,2,46,135,18,0,2,590,1432,127,1,1,Clarke Quay,"1,29","103,84",0
46638,5009,0,5009,777240,263,1243,1383,1385,0,1737,0,52,168,38,0,2,216,1222,127,1,1,Tai Seng,"1,34","103,89",0
111263,4562,0,4563,777240,1100,1268,1383,1337,0,2009,1,47,86,16,0,2,387,1360,127,1,1,Geylang Serai,"1,32","103,9",0
185034,4562,0,4563,777240,1100,1268,1383,1337,0,2009,1,47,86,16,0,2,387,1360,127,1,1,Jalan Kayu-Seletar,"1,4","103,87",0
188020,5009,0,5009,777240,263,1243,1383,1385,0,1737,0,52,168,38,0,2,216,1222,127,1,1,Boon Keng,"1,32","103,86",0
111440,5162,0,5162,783360,1004,1425,1381,1601,0,2102,1,38,111,18,0,2,384,1435,128,1,1,Commonwealth,"1,3","103,8",0
185083,5162,0,5162,783360,1004,1425,1381,1601,0,2102,1,38,111,18,0,2,384,1435,128,1,1,Watten,"1,33","103,81",0
111392,4882,0,4882,777240,722,1455,1381,1405,0,2175,1,36,72,17,0,1,338,1383,127,1,1,Sin Ming,"1,36","103,83",0
185223,4882,0,4882,777240,722,1455,1381,1405,0,2175,1,36,72,17,0,1,338,1383,127,1,1,Woodlands,"1,44","103,79",0
111480,6117,0,6119,783360,600,1479,1378,1990,0,2035,2,67,142,26,0,2,492,1826,128,1,1,Woodgrove,"1,43","103,78",0
185101,6117,0,6119,783360,600,1479,1378,1990,0,2035,2,67,142,26,0,2,492,1826,128,1,1,Punggol,"1,4","103,91",0
46372,6121,3,6122,777240,193,1386,1376,1537,0,1888,0,52,278,22,11,3,191,1272,127,1,1,Caldecott Hill,"1,34","103,83",0
187988,6121,3,6122,777240,193,1386,1376,1537,0,1888,0,52,278,22,11,3,191,1272,127,1,1,Watten,"1,33","103,81",0
111318,5415,0,5415,783360,589,1358,1375,1820,0,1859,0,92,175,26,1,3,689,1761,128,1,0,Pioneer,"1,32","103,68",0
185197,5415,0,5415,783360,589,1358,1375,1820,0,1859,0,92,175,26,1,3,689,1761,128,1,0,Orchard Road,"1,3","103,85",0
46692,5457,0,5457,777240,696,1279,1375,1178,0,2000,0,32,414,29,87,3,928,2000,127,1,1,Singapore City,"1,28","103,85",0
187878,5457,0,5457,777240,696,1279,1375,1178,0,2000,0,32,414,29,87,3,928,2000,127,1,1,Tiong Bahru,"1,29","103,83",0
111153,5432,0,5432,783360,553,1433,1374,1637,0,1919,2,46,121,26,0,2,452,1578,128,1,1,Bencoolen,"1,3","103,85",0
185152,5432,0,5432,783360,553,1433,1374,1637,0,1919,2,46,121,26,0,2,452,1578,128,1,1,Cairnhill,"1,31","103,84",0
46834,4960,0,4960,777240,362,1252,1374,1363,0,1839,0,39,397,25,91,2,549,1144,127,1,1,Jurong?ndustrial,"1,34","103,75",0
187783,4960,0,4960,777240,362,1252,1374,1363,0,1839,0,39,397,25,91,2,549,1144,127,1,1,Serangoon North,"1,36","103,87",0
46804,4754,0,4754,783360,235,1181,1373,1324,0,1874,0,44,317,30,26,2,573,1516,128,1,1,Yishun,"1,43","103,84",0
187760,4754,0,4754,783360,235,1181,1373,1324,0,1874,0,44,317,30,26,2,573,1516,128,1,1,Sarimbun,"1,42","103,7",0
46522,5067,0,5066,783360,252,1329,1372,1298,0,1850,1,46,250,25,2,2,208,1197,128,1,1,Innova,"1,43","103,79",0
187848,5067,0,5066,783360,252,1329,1372,1298,0,1850,1,46,250,25,2,2,208,1197,128,1,1,Novena,"1,32","103,84",0
46835,4859,0,4859,783360,421,1278,1370,1222,0,1903,0,34,393,25,91,3,565,1195,128,1,1,Punggol,"1,4","103,91",0
187784,4859,0,4859,783360,421,1278,1370,1222,0,1903,0,34,393,25,91,3,565,1195,128,1,1,Elias,"1,38","103,94",0
46364,6140,0,6140,777240,232,1411,1367,1542,0,1896,0,42,279,36,13,2,230,1488,127,1,1,Tengah,"1,36","103,73",0
46365,6140,0,6140,777240,232,1411,1367,1542,0,1896,0,42,279,36,13,2,230,1488,127,1,1,Chong Pang,"1,43","103,83",0
111047,5118,0,5118,777240,418,1350,1367,1604,0,1886,4,55,99,29,0,2,407,1508,127,1,1,Bukit Purmei,"1,27","103,83",0
185305,5118,0,5118,777240,418,1350,1367,1604,0,1886,4,55,99,29,0,2,407,1508,127,1,1,Marina South,"1,28","103,87",0
187980,6140,0,6140,777240,232,1411,1367,1542,0,1896,0,42,279,36,13,2,230,1488,127,1,1,Pioneer Sector,"1,29","103,67",0
187981,6140,0,6140,777240,232,1411,1367,1542,0,1896,0,42,279,36,13,2,230,1488,127,1,1,Rochor,"1,31","103,87",0
111562,4107,0,4107,783360,390,1349,1366,956,0,2301,1,42,77,14,0,1,339,1085,128,1,1,Tuas West,"1,33","103,63",0
111394,4092,0,4093,783360,752,1236,1290,1122,0,2116,1,56,72,15,0,2,374,1182,128,1,1,Marina Bay,"1,28","103,85",1
184930,4107,0,4107,783360,390,1349,1366,956,0,2301,1,42,77,14,0,1,339,1085,128,1,1,Bukit Batok,"1,36","103,76",0
111435,6712,0,6712,777240,1014,1440,1362,2257,0,2051,0,77,219,26,4,2,787,2745,127,1,0,one-North,"1,3","103,79",0
185080,6712,0,6712,777240,1014,1440,1362,2257,0,2051,0,77,219,26,4,2,787,2745,127,1,0,Telok Blangah,"1,27","103,81",0
46666,5045,0,5045,783360,298,1206,1360,1382,0,1797,1,47,193,22,0,2,167,1291,128,1,1,Boon Lay,"1,34","103,71",0
